,Figurinha,Sim 1,Sim 2,Sim 3,Sim 4,Sim 5,Sim 6,Sim 7,Sim 8,Sim 9,Sim 10,Sim 11,Sim 12,Sim 13,Sim 14,Sim 15,Sim 16,Sim 17,Sim 18,Sim 19,Sim 20,Sim 21,Sim 22,Sim 23,Sim 24,Sim 25,Sim 26,Sim 27,Sim 28,Sim 29,Sim 30,Sim 31,Sim 32,Sim 33,Sim 34,Sim 35,Sim 36,Sim 37,Sim 38,Sim 39,Sim 40,Sim 41,Sim 42,Sim 43,Sim 44,Sim 45,Sim 46,Sim 47,Sim 48,Sim 49,Sim 50,Sim 51,Sim 52,Sim 53,Sim 54,Sim 55,Sim 56,Sim 57,Sim 58,Sim 59,Sim 60,Sim 61,Sim 62,Sim 63,Sim 64,Sim 65,Sim 66,Sim 67,Sim 68,Sim 69,Sim 70,Sim 71,Sim 72,Sim 73,Sim 74,Sim 75,Sim 76,Sim 77,Sim 78,Sim 79,Sim 80,Sim 81,Sim 82,Sim 83,Sim 84,Sim 85,Sim 86,Sim 87,Sim 88,Sim 89,Sim 90,Sim 91,Sim 92,Sim 93,Sim 94,Sim 95,Sim 96,Sim 97,Sim 98,Sim 99,Sim 100,Valores,Teóricos
428,429,3,3,1,2,3,5,7,2,1,3,8,1,1,2,2,3,2,1,4,1,7,2,4,1,8,3,1,2,9,11,6,1,1,2,1,4,1,6,3,1,1,11,2,1,3,6,1,1,4,1,3,3,1,6,3,6,1,2,1,4,5,2,4,5,2,2,2,2,2,2,1,3,3,1,1,3,4,1,3,5,2,6,2,1,2,2,1,2,3,2,2,3,1,2,4,1,16,2,1,2,3.0676328502415457,6.342738453639525
429,430,4,1,3,3,1,4,4,1,1,3,1,2,1,2,3,1,13,2,6,2,6,6,3,5,1,2,3,8,3,3,3,1,8,3,4,3,1,3,2,2,6,1,4,6,2,5,8,9,2,1,7,2,2,5,2,8,1,5,3,1,9,2,7,11,4,3,2,10,2,1,3,5,9,2,8,1,1,1,2,4,2,1,4,1,4,3,7,2,1,1,3,11,3,8,1,2,1,2,2,2,3.0825242718446604,6.4194316146667925
430,431,14,4,8,4,5,7,3,2,1,1,2,3,2,3,3,1,2,1,3,2,1,2,1,3,1,3,1,5,4,1,5,9,6,1,2,4,3,3,1,1,4,4,2,9,2,1,3,1,1,1,3,1,1,2,1,4,5,3,6,1,2,1,3,2,7,1,1,1,2,4,2,2,2,5,2,2,2,2,13,1,1,2,1,3,2,3,5,1,2,1,1,2,4,9,3,4,3,2,1,3,3.097560975609756,6.497323022010708
431,432,6,1,1,4,1,1,3,2,3,2,1,1,1,2,3,2,12,6,11,1,4,7,1,7,2,3,4,8,2,2,4,5,5,4,5,7,6,6,1,3,3,5,3,3,1,6,1,3,4,3,3,1,1,5,6,10,2,5,2,1,2,1,1,1,1,4,5,1,2,1,8,5,1,1,4,2,7,3,1,5,6,6,10,1,11,1,11,1,3,2,1,4,1,3,2,5,16,2,2,1,3.1127450980392157,6.5764369473279505
432,433,7,5,1,7,2,1,2,1,1,4,3,1,1,1,3,1,3,2,2,2,11,2,2,3,1,2,4,2,5,6,3,1,18,1,1,1,1,4,3,1,8,2,4,2,1,3,6,4,3,4,5,1,2,1,1,3,4,3,1,1,2,1,2,2,1,1,7,4,11,1,7,1,2,5,2,2,4,6,4,5,5,2,3,1,5,1,2,4,3,4,7,2,1,1,9,3,1,2,1,2,3.12807881773399,6.656798272222088
433,434,1,3,1,2,8,3,2,8,7,9,6,2,1,1,5,3,2,4,10,3,3,1,13,9,4,4,4,8,1,1,1,4,2,4,2,7,1,1,3,5,1,1,2,7,5,4,1,1,10,4,1,4,1,12,1,1,2,1,7,5,4,3,5,5,3,6,2,2,3,14,1,1,1,2,1,1,1,2,1,3,3,2,3,1,3,2,8,4,2,9,5,5,2,3,2,2,2,1,2,3,3.1435643564356437,6.7384325066169986
434,435,4,1,4,1,1,2,3,1,1,1,3,1,1,1,3,2,3,7,2,1,2,1,2,5,2,1,3,1,2,3,2,6,2,2,4,2,1,3,5,3,3,3,2,1,6,1,3,1,6,6,4,3,3,8,2,6,5,1,1,4,1,4,1,5,8,1,1,3,4,3,3,1,3,4,4,3,3,2,6,2,4,1,1,2,2,3,3,2,1,5,1,2,3,3,1,2,4,1,1,4,3.1592039800995027,6.821365807777036
435,436,3,8,4,1,5,4,3,2,1,3,2,2,4,1,1,4,4,3,1,6,6,1,3,1,9,1,2,2,2,3,2,2,2,1,4,8,2,4,5,2,1,2,2,3,4,1,1,1,2,5,4,3,6,3,2,5,1,5,7,7,2,18,3,1,1,1,3,1,4,1,2,1,1,1,5,4,1,3,7,3,5,2,4,1,3,3,3,2,1,4,2,1,2,1,1,2,5,1,6,6,3.175,6.905625
436,437,3,4,3,3,1,1,6,4,2,2,8,3,2,1,7,2,2,1,10,9,8,2,3,1,1,2,1,1,4,1,2,1,2,10,3,7,1,1,3,3,9,2,5,2,2,1,1,3,4,2,7,5,5,3,6,3,2,5,1,2,7,1,10,2,1,3,3,6,3,7,1,3,2,2,2,1,1,1,1,2,7,2,4,3,1,3,3,4,5,1,9,7,2,8,4,6,9,3,4,1,3.190954773869347,6.991237595010227
437,438,2,9,1,1,6,1,3,2,1,1,1,5,1,5,1,1,2,8,3,5,1,1,1,1,2,1,1,5,15,2,2,4,9,1,2,3,2,4,4,13,2,3,5,2,8,3,1,3,1,2,1,1,1,2,5,4,7,1,2,3,2,1,1,2,4,1,2,4,1,2,3,5,3,1,1,4,7,2,3,1,1,3,1,4,1,7,4,1,1,1,2,1,2,1,2,1,1,2,2,1,3.207070707070707,7.078231813080298
438,439,1,4,1,3,3,11,8,2,6,8,1,1,2,13,4,1,1,6,1,4,4,2,4,1,2,4,2,2,3,2,3,2,2,1,4,1,3,2,2,6,3,1,3,1,9,5,5,1,2,2,3,3,5,2,2,7,6,6,1,2,6,2,1,3,1,10,1,1,2,8,1,1,4,10,2,1,1,4,1,2,4,1,1,2,1,8,2,1,6,1,5,7,3,6,3,3,6,2,13,5,3.2233502538071064,7.166636604911232
439,440,2,3,6,2,1,2,1,6,1,5,3,5,1,4,1,2,1,8,1,2,1,5,3,2,1,2,1,1,1,2,3,1,8,1,2,3,5,3,1,4,4,1,1,6,6,6,16,8,3,7,5,1,8,3,2,4,1,2,1,3,1,1,2,2,1,1,1,1,7,4,5,11,7,1,1,5,8,2,8,2,4,4,1,2,2,8,3,1,5,6,1,1,1,6,6,2,1,2,4,2,3.239795918367347,7.256481674302374
440,441,3,1,1,1,2,6,2,7,1,6,5,4,5,1,3,2,1,5,4,2,6,1,5,2,6,8,2,4,4,3,1,2,1,7,2,5,8,3,2,7,2,6,1,1,5,1,5,1,11,3,2,1,2,2,5,7,3,4,3,4,3,6,8,3,2,1,2,1,7,1,9,1,6,1,4,7,1,15,2,1,1,2,3,2,2,2,4,1,5,1,1,2,1,1,1,3,1,2,1,2,3.2564102564102564,7.347797501643655
441,442,4,1,6,3,1,3,2,4,4,3,2,1,2,1,2,9,11,1,4,4,3,6,1,1,1,1,1,2,2,4,7,1,1,5,3,5,2,1,3,10,3,1,4,1,4,2,8,5,3,1,2,3,5,2,2,5,9,1,1,1,2,1,7,1,1,12,1,6,4,1,10,2,2,4,1,7,3,3,2,3,1,5,5,5,2,2,1,1,3,2,6,2,12,2,3,4,5,1,1,1,3.2731958762886597,7.440615368264428
442,443,2,2,4,2,3,1,2,3,1,4,8,3,5,1,1,7,4,3,3,5,2,3,2,6,6,1,4,1,12,7,9,2,1,2,2,5,5,3,2,1,4,3,2,2,4,1,13,1,2,2,3,1,5,1,2,2,9,2,2,7,5,7,1,2,3,2,1,1,4,1,6,7,3,1,4,3,4,1,3,2,3,1,7,1,2,2,1,8,3,7,4,1,1,3,2,6,10,4,5,1,3.290155440414508,7.534967381674676
443,444,2,1,13,1,4,2,2,3,1,2,5,3,7,1,3,9,1,1,1,2,2,1,3,5,7,18,1,1,3,13,2,7,1,8,2,4,1,4,1,2,6,1,5,3,2,3,4,4,11,9,1,7,1,1,1,7,2,8,6,1,3,5,8,1,3,2,6,2,5,8,7,1,1,1,2,7,4,5,2,3,1,1,1,1,3,4,3,1,1,1,2,2,1,1,1,2,2,5,6,5,3.3072916666666665,7.630886501736111
444,445,1,6,1,3,1,2,5,3,5,4,1,4,3,1,2,2,2,2,4,1,2,2,2,4,8,9,5,7,1,6,2,1,2,2,2,1,1,4,1,2,3,1,3,10,2,3,2,2,13,1,3,2,4,2,1,5,1,4,1,3,4,13,2,1,5,2,1,1,1,2,1,1,1,1,2,1,7,1,1,1,3,1,8,1,6,12,1,2,1,4,9,2,8,3,1,1,3,7,5,4,3.324607329842932,7.728406567802418
445,446,1,1,1,1,2,1,5,1,7,4,5,2,1,2,3,3,1,13,1,1,4,1,2,2,2,2,7,1,1,1,11,2,1,4,1,8,3,7,1,1,3,13,5,1,1,3,3,8,2,1,1,1,11,12,1,5,4,9,1,1,1,2,6,4,2,1,1,2,1,2,1,2,1,1,1,5,1,2,4,3,3,1,1,1,2,2,4,3,4,1,2,6,1,1,1,3,1,3,9,8,3.3421052631578947,7.827562326869806
446,447,7,11,6,2,6,2,1,1,6,1,3,1,6,1,2,1,1,4,5,1,2,1,2,1,1,3,1,11,3,5,1,1,11,2,3,1,6,3,1,3,4,3,4,1,2,3,3,2,12,1,2,5,3,3,1,2,4,1,2,3,1,9,1,6,2,5,2,2,3,1,1,4,1,7,10,2,6,2,2,1,4,9,1,2,1,2,6,1,1,2,4,5,4,2,2,7,3,3,6,1,3.35978835978836,7.928389462780997
447,448,1,1,1,2,1,6,4,5,5,5,1,4,2,6,1,1,2,2,2,2,2,2,2,4,6,1,2,3,2,1,3,1,1,2,2,1,5,1,3,5,2,1,3,2,1,4,1,6,1,5,7,2,1,4,1,2,7,1,1,2,2,2,3,5,1,1,6,4,1,3,4,1,1,1,17,2,5,2,2,6,3,2,2,2,5,4,2,1,1,5,6,6,3,3,2,1,6,5,7,1,3.377659574468085,8.03092462652784
448,449,3,10,7,7,3,3,3,4,4,2,3,6,1,4,2,1,2,3,12,1,7,1,9,2,2,1,2,2,2,8,2,7,1,2,1,4,5,3,1,1,1,3,2,3,1,3,8,10,7,2,3,3,3,5,4,6,3,7,3,12,2,3,9,1,3,3,1,8,1,8,1,3,2,3,1,3,5,1,7,4,1,10,3,2,2,7,2,1,1,4,2,3,5,4,2,2,2,4,8,3,3.3957219251336896,8.135205467699963
